술이름,기준가_TWD,정가_TWD,환율_TWDKRW,기준가_KRW,반입추정가_KRW_관세20,반입추정가_KRW_FTA0,재고,출처,가져온날짜,URL,비고
1792 小批次波本威士忌,1080.0,1200.0,47.9489,51785,132338,110281,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/1792-小批次波本威士忌-1792-small-batch-bourbon-whiskey,할인중
美金條納帕谷紅酒桶威士忌 迷你酒禮盒,2360.0,2700.0,47.9489,113159,289180,240983,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/美金條納帕谷紅酒桶威士忌-迷你酒禮盒-the-original-gold-bar-whiskey-mini-size-limited-gift-set,할인중
美金條納帕谷紅酒桶威士忌 禮盒,2180.0,2350.0,47.9489,104529,267126,222605,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/美金條納帕谷紅酒桶威士忌-禮盒-the-original-gold-bar-whiskey-limited-gift-set,할인중
美金條納帕谷紅酒桶威士忌 迷你酒,380.0,450.0,47.9489,18221,46564,38803,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/美金條納帕谷紅酒桶威士忌-迷你酒-gold-bar-blended-whiskey-finishes-in-california-casks-mini-size,할인중
大摩 典藏珍稀年份 VINTAGE 2008,6800.0,,47.9489,326053,833235,694362,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/大摩-典藏珍稀年份-vintage-2008-dalmore-vintage-2008-bottled-2023,
高原騎士 NO.1+NO.2+NO.3+NO.4+NO.5 原酒套組,16800.0,,47.9489,805542,2058579,1715482,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/高原騎士-no-1-no-2-no-3-no-4-no-5-原酒套組-highland-park-cask-strength-release-no-1-no-2-no-3-no-4-no-5,
約翰走路 藍牌 跨界極選系列 龍蝦先生禮盒,4200.0,,47.9489,201385,514643,428869,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/約翰走路-藍牌-跨界極選系列-龍蝦先生禮盒-johnnie-walker-blue-label-philip-colbert-limited-edition,
樂加維林 12年限量原酒 傳奇之墨 (帝亞吉歐2023臻選系列),5120.0,,47.9489,245498,627375,522813,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/樂加維林-12年限量原酒-傳奇之墨-帝亞吉歐2023臻選系列-lagavulin-12y-diageo-special-releases-2023,
克里尼基 10年限量原酒 爵士漸強 (帝亞吉歐2023臻選系列),5450.0,,47.9489,261322,667814,556511,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/克里尼基-10年限量原酒-爵士漸強-帝亞吉歐2023臻選系列-clynelish-10y-diageo-special-releases-2023,
高原騎士 原酒 NO.5,3200.0,3800.0,47.9489,153436,392109,326757,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/高原騎士-原酒-no-5-highland-park-cask-strength-release-no-5,할인중
艾柏迪 21年 阿根廷馬爾貝克紅酒桶,5880.0,6880.0,47.9489,281940,720503,600419,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/艾柏迪-21年-阿根廷馬爾貝克紅酒桶-aberfeldy-21y-finished-in-argentinian-malbec-wine-casks-limited-edition,할인중
格蘭多納 15年,1880.0,,47.9489,90144,230365,191971,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭多納-15年-新包裝-glendronach-15y-new-package,
格蘭多納 12年,1250.0,,47.9489,59936,153168,127640,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭多納-12年-新包裝-glendronach-12y-new-package,
OMAR 三桶單一麥芽威士忌 臺北市立動物園110週年X買酒網聯名紀念酒,1580.0,,47.9489,75759,193604,161336,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/omar-三桶單一麥芽威士忌-臺北市立動物園110週年x買酒網聯名紀念酒-omar-x-my9-x-taipei-zoo-110th-triple-cask-single-malt-whisky,
