술이름,기준가_TWD,정가_TWD,환율_TWDKRW,기준가_KRW,반입추정가_KRW_관세20,반입추정가_KRW_FTA0,재고,출처,가져온날짜,URL,비고
麥卡倫 詹姆士龐德60週年限量版 DECADE IV,35000.0,50000.0,47.9489,1678212,4288704,3573920,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/麥卡倫-詹姆士龐德60週年限量版-decade-iv-macallan-james-bond-60th-anniversary-release-decade-iv,할인중
蘇魔克 黑啤酒桶,1400.0,1550.0,47.9489,67128,171547,142956,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/蘇魔克-黑啤酒桶-smokehead-twisted-stout-limited-edition,할인중
格蘭冠 雪莉原酒 台灣限定版,1900.0,2080.0,47.9489,91103,232816,194013,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭冠-雪莉原酒-台灣限定版-glengrant-arboralis-cask-strength-taiwam-exclusive-2023-release,할인중
山崎12年+白州12年 百年紀念款套組,18100.0,20000.0,47.9489,867875,2217872,1848227,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/山崎12年-白州12年-百年紀念款套組-the-yamazaki-12y-the-hakushu-12y-100th-anniversary-suntory-whisky,할인중
SMOS 單桶系列 媞安尼克蒸餾廠(2007) 15年原酒,3200.0,3600.0,47.9489,153436,392109,326757,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/smos-單桶系列-媞安尼克蒸餾廠2007-15年原酒-smos-single-cask-teaninich-distillery-2007-15y-cask-strength,할인중
SMOS 單桶系列 低地區(2009) 13年原酒,2800.0,3100.0,47.9489,134257,343096,285914,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/smos-單桶系列-低地區2009-13年原酒-smos-single-cask-a-lowland-distillery-2009-13y-cask-strength,할인중
SMOS 精選系列 艾雷島 30年原酒,13800.0,14500.0,47.9489,661695,1690975,1409146,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/smos-精選系列-艾雷島-30年原酒-smos-a-marriage-of-casks-an-islay-distillery-30y-cask-strength,할인중
SMOS 精選系列 帝國蒸餾廠 26年原酒,25500.0,27000.0,47.9489,1222697,3124627,2603856,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/smos-精選系列-帝國蒸餾廠-26年原酒-smos-a-marriage-of-casks-imperial-distillery-26y-cask-strength,할인중
亞伯樂 17年小批次雙桶原酒,8800.0,10000.0,47.9489,421950,1078302,898585,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/亞伯樂-17年小批次雙桶原酒-aberlour-17y-crafted-small-batch-limited-release-2023,할인중
亞伯樂 15年小批次雙桶原酒,5800.0,7000.0,47.9489,278104,710700,592250,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/亞伯樂-15年小批次雙桶原酒-aberlour-15y-crafted-small-batch-limited-release-2023,할인중
皇家禮炮 24年干邑桶 亞洲限定版,4450.0,5880.0,47.9489,213373,545279,454399,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/皇家禮炮-24年干邑桶-亞洲限定版-royal-salute-24y-cognac-cask-finish-limited-edition,할인중
坦杜 雪莉桶原酒 生肖系列 龍年限定版,2980.0,3600.0,47.9489,142888,365153,304294,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/坦杜-雪莉桶原酒-生肖系列-龍年限定版-tamdbu-sherry-oak-casks-year-of-the-dragon-limited-edition,할인중
SMOS 精選系列 斯貝賽蒸餾廠 25年原酒,7600.0,8000.0,47.9489,364412,931262,776052,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/smos-精選系列-斯貝賽蒸餾廠-25年原酒-smos-a-marriage-of-casks-speyside-distillery-25y-cask-strength,할인중
SMOS 精選系列 格蘭路思蒸餾廠 31年原酒,21000.0,22000.0,47.9489,1006927,2573222,2144352,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/smos-精選系列-格蘭路思蒸餾廠-31年原酒-smos-a-marriage-of-casks-glenrothes-distillery-31y-cask-strength,할인중
SMOS 特選原桶系列 大雲蒸餾廠(2011) 10年,2000.0,2400.0,47.9489,95898,245069,204224,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/smos-特選原桶系列-大雲蒸餾廠2011-10年-smos-reserve-casks-dailuaine-distillery-2011-10y,할인중
SMOS 特選原桶系列 本利林蒸餾廠(2009) 12年,2200.0,2600.0,47.9489,105488,269577,224647,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/smos-特選原桶系列-本利林蒸餾廠2009-12年-smos-reserve-casks-benrinnes-distillery-2009-12y,할인중
馬克白A1 珍藏系列套組,500000.0,571800.0,47.9489,23974450,61267186,51055989,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/馬克白a1-珍藏系列套組-macbeth,할인중
馬克白A1 家族系列-血腥中士 布萊爾阿蘇10年,3550.0,3800.0,47.9489,170219,434998,362498,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/馬克白a1-家族系列-血腥中士-布萊爾阿蘇10年-macbeth-the-household-bloody-sergeant-10y-distilled-at-blair-athol-distillery,할인중
馬克白A1 家族系列-西登 阿德莫爾12年,3750.0,4000.0,47.9489,179808,459503,382919,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/馬克白a1-家族系列-西登-阿德莫爾12年-macbeth-the-household-seyton-12y-distilled-at-ardmore-distillery,할인중
馬克白A1 兇手系列 馬爾島18年,9375.0,10000.0,47.9489,449521,1148760,957300,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/馬克白a1-兇手系列-馬爾島18年-macbeth-the-murderers-first-murderer-18y-distilled-at-ledaig-distillery,할인중
馬克白A1 貴族系列-麥克德夫夫人 林克伍德31年,28125.0,30000.0,47.9489,1348563,3446280,2871900,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/馬克白a1-麥克德夫夫人-林克伍德31年-macbeth-the-thanes-lady-macduff-31y-distilled-at-linkwood-distillery,할인중
馬克白A1 女巫系列 艾雷島19年,20625.0,22000.0,47.9489,988946,2527271,2106059,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/馬克白a1-女巫系列-艾雷島19年-macbeth-the-witches-first-witch-19y-distilled-at-ardbeg-distillery,할인중
馬克白A1 幽靈系列 坎伯斯31年,11250.0,12000.0,47.9489,539425,1378511,1148759,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/馬克白a1-幽靈系列-坎伯斯31年-macbeth-the-ghosts-ghost-31y-distilled-at-cambus-distillery,할인중
馬克白A1 貴族系列-安格斯 格蘭蓋瑞31年,28125.0,30000.0,47.9489,1348563,3446280,2871900,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/馬克白a1-貴族安格斯-格蘭蓋瑞31年-macbeth-the-thanes-angus-31y-distilled-at-glen-garioch-distillery,할인중
馬克白A1 貴族系列-孟提斯 班瑞克31年,28125.0,30000.0,47.9489,1348563,3446280,2871900,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/馬克白a1-貴族孟提斯-班瑞克31年-macbeth-the-thanes-menteith-31y-distilled-at-benriach-distillery,할인중
齊侯門 PX雪莉桶 2023版,2750.0,3050.0,47.9489,131859,336968,280807,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/齊侯門-px雪莉桶-2023版-kilchoman-px-sherry-cask-matured-2023-edition,할인중
雅柏 畸形歪像限定版,7300.0,7500.0,47.9489,350027,894501,745417,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/雅柏-畸形歪像限量版-ardbeg-anamorphic-islay-single-malt-scotch-whisky,할인중
齊侯門 台灣限定單桶 第三批次,2180.0,2400.0,47.9489,104529,267126,222605,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/齊侯門-台灣限定批次第三版-kilchoman-taiwan-small-batch-3,할인중
格蘭花格 50年,285000.0,309800.0,47.9489,13665436,34922295,29101913,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭花格-50年-glenfarclas-50y,할인중
麥卡倫 春宴 2023,3680.0,4200.0,47.9489,176452,450927,375772,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/麥卡倫-春宴-2023-the-macallan-a-night-on-earth-the-journey-2023,할인중
坦杜 珍藏版雪茄原酒第二版,7899.0,8800.0,47.9489,378748,967898,806582,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/坦杜-珍藏版雪茄原酒第二版-tamdhu-cigar-malt-release-no-2,할인중
歐本 11年限量原酒 海之女神 (帝亞吉歐2023臻選系列),4630.0,,47.9489,222003,567333,472778,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/歐本-11年限量原酒-海之女神-帝亞吉歐2023臻選系列-oban-11y-natural-cask-strength-diageo-special-releases-2023,
慕赫 限量原酒 闇夜武侍 (帝亞吉歐2023臻選系列),8400.0,,47.9489,402771,1029289,857741,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/慕赫-限量原酒-闇夜武侍-帝亞吉歐2023臻選系列-mortlach-natural-cask-strength-diageo-special-releases-2024,
格蘭昆奇 27年限量原酒 花卉寶藏 (帝亞吉歐2023臻選系列),11230.0,,47.9489,538466,1376061,1146717,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭昆奇,
瑰嶼 12年限量原酒 摺紙風箏 (帝亞吉歐2023臻選系列),3970.0,,47.9489,190357,486461,405384,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/瑰嶼-12年原酒-摺紙風箏-帝亞吉歐2023臻選系列-roseisle-12y-natural-cask-strength-diageo-special-releases-2023,
泰斯卡 限量原酒 狂野探險家 (帝亞吉歐2023臻選系列),3900.0,,47.9489,187001,477885,398237,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/泰斯卡-限量原酒-狂野探險家-帝亞吉歐2023臻選系列-talisker-natural-cask-strength-diageo-special-releases-2023,
格蘭多納 桶裝強度原酒 BATCH 12,3300.0,3800.0,47.9489,158231,404362,336969,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭多納-桶裝強度原酒-batch-12-glendronach-cask-strength-batch-12,할인중
歐肯 14年豐馥紫雪莉桶 台灣限定版,1250.0,1400.0,47.9489,59936,153168,127640,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/歐肯-14年豐馥紫雪莉-台灣限定版-auchentoshan-14y-sherry-cask-sweet-and-rich-taiwan-exclusive,할인중
麥卡倫 黃金麥穗,5900.0,6600.0,47.9489,282899,722954,602462,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/麥卡倫-黃金麥穗-the-macallan-harmony-collection-amber-meadow,할인중
帝亞吉歐 2023年度原酒臻選系列套組 無垠之旅,46500.0,,47.9489,2229624,5697849,4748207,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/帝亞吉歐-2023年度原酒臻選系列-無垠之旅-diageo-special-releases-2023-spirited-xchange,
山崎 2023年水楢桶限量版,8900.0,12800.0,47.9489,426745,1090555,908796,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/山崎-2023年水楢桶限量版-the-yamazaki-mizunara-japanese-oak-cask-limited-edition-2023,할인중
雅柏 19年 第五版,12500.0,13500.0,47.9489,599361,1531679,1276399,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/雅柏艾雷-19年-第五版-ardbeg-traigh-bhan-19y-batch-5,할인중
格蘭多納 25年單桶原酒 1994#5079,21500.0,23800.0,47.9489,1030901,2634488,2195407,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭多納-25年單桶原酒1994-5079-glendronach-cask-bottling-1994-5079-25y,할인중
格蘭多納 26年單桶原酒 1993#6733,17500.0,20000.0,47.9489,839106,2144352,1786960,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭多納-26年單桶原酒-1993-6733-glendronach-cask-bottling-1993-6733-26y,할인중
齊克倫 限量發行原酒系列 8年雪莉桶原酒,6360.0,7300.0,47.9489,304955,779319,649432,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/齊克倫-限量發行原酒系列-8年雪莉桶原酒-kilkerran-sherry-cask-matured-8y-cask-strength-campbeltown-single-malt-scotch-whisky,할인중
吉拉 15年雪莉桶,1380.0,1500.0,47.9489,66169,169096,140914,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/吉拉-15年雪莉桶-jura-15y-sherry-cask-reserve,할인중
大摩 典藏珍稀年份 VINTAGE 2007,6900.0,7500.0,47.9489,330847,845486,704572,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/大摩-典藏珍稀年份-vintage-2007-dalmore-vintage-2007-2022-release,할인중
布萊迪 奧特摩 12.2,5900.0,6500.0,47.9489,282899,722954,602462,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/布萊迪-奧特摩-12-2-octomore-12-2-scottish-barley,할인중
百樂門 臻選年份原桶強度2013 Batch 1,1960.0,2250.0,47.9489,93980,240168,200140,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/百樂門-2013第一批次臻選年份原桶強度-benromach-vintage-2013-cask-strength-batch-01,할인중
高原騎士 NO.1+NO.2+NO.3+NO.4 原酒套組,13600.0,16000.0,47.9489,652105,1666467,1388723,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/高原騎士-原酒no-1-no-2-no-3-no-4套組-highland-park-cask-strength-release-no-1-no-2-no-3-no-4,할인중
高原騎士 原酒 NO.4,3400.0,4000.0,47.9489,163026,416616,347180,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/高原騎士-原酒-no-4-highland-park-cask-strength-release-no-4,할인중
蒙面狄肯 蘇格蘭調和威士忌,790.0,880.0,47.9489,37880,96803,80669,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/蒙面狄肯-蘇格蘭調和威士忌-the-decon-whisky,할인중
魁列奇 23年,11000.0,13000.0,47.9489,527438,1347878,1123232,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/魁列奇-23年-craigellachie-23y,할인중
魁列奇 19年,5500.0,6500.0,47.9489,263719,673939,561616,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/魁列奇-19年-craigellachie-19y,할인중
厚岸蒸餾所 立冬,12499.0,15500.0,47.9489,599313,1531556,1276297,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/厚岸蒸餾所-立冬-the-akkeshi-ritto-single-malt-japanese-whisky,할인중
厚岸蒸餾所 大寒 2022限定版調和威士忌,9500.0,10500.0,47.9489,455515,1164078,970065,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/厚岸蒸餾所-大寒-the-akkeshi-daikan-blended-whisky,할인중
厚岸蒸餾所 處暑,10900.0,12500.0,47.9489,522643,1335625,1113021,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/厚岸蒸餾所-處暑-the-akkeshi-shosho-blended-whisky,할인중
雅柏 神話選輯 傳奇首部曲 鷹身女妖限定版,5800.0,6400.0,47.9489,278104,710700,592250,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/雅柏-神話選集傳奇首部曲-鷹身女妖限量版-ardbeg-anthology-the-harpys-tale-islay-single-malt-scotch-whisky,할인중
百富 故事系列 19年桶錘之藝,9200.0,12000.0,47.9489,441130,1127317,939430,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/百富故事系列-19年桶錘之藝-the-balvenie-19y-a-revelation-of-cask-and-character,할인중
帝王 18年,1799.0,1950.0,47.9489,86260,220439,183699,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/帝王18年蘇格蘭威士忌-dewars-18y-blended-scotch-whisky,할인중
塔木嶺 玩桶系列 西班牙格那希紅酒桶,699.0,980.0,47.9489,33516,85651,71376,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/塔木嶺-玩桶系列-西班牙格那希紅酒桶-tamnavulin-red-wine-cask-edition-spanish-grenache-cask-finish,할인중
塔木嶺 玩桶系列 德國黑皮諾紅酒桶,699.0,980.0,47.9489,33516,85651,71376,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/塔木嶺-德國黑皮諾紅酒桶-單一麥芽威士忌-tamnavulin-red-wine-cask-edition-speyside-single-malt-scotch-whisky,할인중
雅墨 15年 珍稀選桶系列 干型瑪莎拉桶,3880.0,4200.0,47.9489,186042,475434,396195,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/雅墨-15年-珍稀選桶系列-干型瑪莎拉桶-aultmore-exceptional-cask-series-15y-dry-marsala-casks,할인중
雅墨 15年 珍稀選桶系列 甜型瑪莎拉桶,3880.0,4200.0,47.9489,186042,475434,396195,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/雅墨-15年-珍稀選桶系列-甜型瑪莎拉桶-aultmore-exceptional-cask-series-15y-sweet-marsala-casks,할인중
雅墨 15年 珍稀選桶系列 紅寶石瑪莎拉桶,3880.0,4200.0,47.9489,186042,475434,396195,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/雅墨-15年-珍稀選桶系列-紅寶石瑪莎拉桶-aultmore-exceptional-cask-series-15y-ruby-marsala-casks,할인중
百富 30年,61800.0,85000.0,47.9489,2963242,7572624,6310520,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/m11510,할인중
布魯克 裸麥威士忌,860.0,950.0,47.9489,41236,105379,87816,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/布魯克-裸麥威士忌-ezra-brooks-straight-rye-whiskey,할인중
布萊迪 波夏 PMC波美侯紅酒桶,3300.0,3600.0,47.9489,158231,404362,336969,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/布萊迪-波夏-pmc波美侯紅酒桶-bruichladdich-port-chrlotte-pmc-01-2013,할인중
傑克丹尼 田納西蜂蜜威士忌利口酒,699.0,850.0,47.9489,33516,85651,71376,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/m02702,할인중
老酋長 1998雪莉桶原酒,12000.0,,47.9489,575387,1470413,1225344,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/老酋長-1998雪莉桶原酒-chieftains-1998-natural-strength-single-cask,
費特肯 18年 (2023年),5880.0,6300.0,47.9489,281940,720503,600419,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/費特肯-18年-2023年-fettercairn-18y-2023,할인중
費特肯 十四號秘藏系列 Batch 1 (2023年),2900.0,3300.0,47.9489,139052,355350,296125,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/費特肯-十四號秘藏系列-batch-1-2023年-fettercairn-warehouse-14-batch-1-2023,할인중
吉拉 18年 獨獻台灣特仕版禮盒,2550.0,2800.0,47.9489,122270,312463,260386,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/吉拉-18年xu3ck6-jura-18y的副本,할인중
麥卡倫 CLASSIC CUT 2023,3900.0,4500.0,47.9489,187001,477885,398237,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/麥卡倫-classic-cut-2023-the-macallan-classic-cut-2023,할인중
百樂門 2012泥煤煙燻波本桶,1800.0,2000.0,47.9489,86308,220562,183802,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/百樂門-2010泥煤煙燻波本桶-benromach-2010-contrasts-peat-smoke,할인중
格蘭菲迪 時光臻藏系列 40年,148000.0,155000.0,47.9489,7096437,18135087,15112572,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭菲迪-時光臻藏系列-40年-glenfiddich-time-re-imagined-40y,할인중
格蘭菲迪 時光臻藏系列 30年,37000.0,40000.0,47.9489,1774109,4533771,3778143,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭菲迪-時光臻藏系列-30年-glenfiddich-time-re-imagined-30y,할인중
大摩 五重奏,3500.0,3800.0,47.9489,167821,428870,357392,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/大摩-五重奏-the-dalmore-the-quartet-five-cask-finishes,할인중
艾德多爾 泥煤13年原酒 BATCH 1,3540.0,3890.0,47.9489,169739,433771,361476,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/艾德多爾-泥煤13年原酒-batch-1-edradour-ballechin-13y-cask-strength-edition,할인중
艾德多爾 泥煤18年原酒 BATCH 1,5380.0,5500.0,47.9489,257965,659235,549362,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/艾德多爾-泥煤18年原酒-batch-1-edradour-ballechin-18y-batch-1-cask-strength-edition,할인중
噶瑪蘭 山川首席 雪莉風味桶,1350.0,1500.0,47.9489,64731,165421,137851,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/噶瑪蘭-山川首席雪莉風味桶-kavalan-concertmaster-sherry-cask-finish,할인중
鉑仕麥 25年 波特桶,23000.0,25000.0,47.9489,1102825,2818291,2348576,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/鉑仕麥-25年11o-wk4桶-bushmills-triple-distilled-12y的副本,할인중
格蘭花格 紅門窖藏原酒系列 EDITION 10 2014,2060.0,2310.0,47.9489,98775,252421,210351,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭花格-紅門窖藏原酒系列-edition-10-2014-glenfarclas-warehouse-select-cask-strength-edition-10-2014,할인중
格蘭花格 紅門窖藏原酒系列 EDITION 9 2013,2270.0,2530.0,47.9489,108844,278153,231794,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭花格-紅門窖藏原酒系列-edition-9-2013-glenfarclas-warehouse-select-cask-strength-edition-9-2013,할인중
格蘭花格 紅門窖藏原酒系列三入套組 (2013+2014+2015)(不含外盒),6220.0,7568.0,47.9489,298242,762163,635136,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭花格-紅門窖藏原酒系列三入套組-2013-2014-2015不含外盒-glenfarclas-warehouse-select-cask-strength-edition-2013-2014-2015no-box,할인중
坦杜 18年雪莉桶,5700.0,8800.0,47.9489,273309,698447,582039,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/坦杜-18年雪莉桶-tamdhu-18y-speyside-sherry-cask,할인중
格蘭花格 紅門窖藏原酒系列三入套組 (2005+2007+2012),8800.0,10600.0,47.9489,421950,1078302,898585,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭花格-紅門窖藏原酒系列三入套組-glenfarclas-warehouse-select-cask-strength-edition,할인중
白州 12年,4500.0,4900.0,47.9489,215770,551405,459504,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/m06224,할인중
山崎 12年 百年紀念款,8900.0,10000.0,47.9489,426745,1090555,908796,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/山崎-12年-百年紀念款-the-yamazaki-12y-100th-anniversary-suntory-whisky,할인중
OMAR 13年原桶強度PX雪莉桶 「花間酌趣」套組,85000.0,100000.0,47.9489,4075656,10415420,8679517,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/omar-13年原桶強度-px雪莉桶-花間酌趣系列-omar-single-malt-whisky-px-solera-sherry-cask,할인중
泰斯卡 PARLEY聯名限量版,2800.0,3050.0,47.9489,134257,343096,285914,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/泰斯卡-parley聯名限量版-talisker-x-parley-wilder-seas-limited-edition,할인중
雅柏 19年 第三版,15800.0,17500.0,47.9489,757593,1936044,1613370,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/雅柏艾雷１９年第三版-ardbeg-19-years-traigh-bhan,할인중
雅柏 19年 第二版,16800.0,18500.0,47.9489,805542,2058579,1715482,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/雅柏艾雷１９年第二版-ardbeg-19-years-traigh-bhan,할인중
天空之島 30年,6300.0,7150.0,47.9489,302078,771966,643305,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/天空之島-30年-isle-skye-0y-blended-scotch-whisky,할인중
天空之島 25年,4999.0,5900.0,47.9489,239697,612550,510459,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/天空之島-25年-isle-skye-25y-blended-scotch-whisky,할인중
天空之島 21年,2150.0,2500.0,47.9489,103090,263449,219540,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/天空之島-21年-isle-skye-21y-blended-scotch-whisky,할인중
皇家柏克萊 傑出桶陳系列 15年FINO雪莉桶,3780.0,4100.0,47.9489,181247,463180,385984,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/皇家柏克萊-傑出桶陳系列-15年fino雪莉桶-royal-brickla-15y-exceptional-cask-series-fino-sherry-cask-finish,할인중
齊克倫 限量發行原酒系列 8年波本桶原酒,3200.0,3600.0,47.9489,153436,392109,326757,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/齊克倫-限量發行原酒系列-8年波本桶原酒-kilkerran-bourbon-cask-matured-8y-cask-strength-campbeltown-single-malt-scotch-whisky,할인중
艾德多爾 21年雪莉桶原酒,11700.0,13500.0,47.9489,561002,1433652,1194710,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/艾德多爾-21年雪莉桶原酒-edradour-caledonia-21y-oloroso-sherry-cask-finish,할인중
艾德多爾 10年,1450.0,1650.0,47.9489,69526,177675,148063,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/艾德多爾-10年-edradour-10y-highland-single-malt-scotch-whisky,할인중
傑克丹尼 田納西蘋果威士忌利口酒,699.0,850.0,47.9489,33516,85651,71376,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/傑克丹尼-田納西蘋果威士忌-jack-daniels-tennessee-apple-whiskey,할인중
亞伯樂 12年 (非冷凝過濾),1180.0,1300.0,47.9489,56580,144591,120493,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/亞伯樂-12年-非冷凝過濾-單一麥芽威士忌-aberlour-12y-non-chill-filtered-speyside-single-malt-scotch-whisky,할인중
格蘭哥尼 原酒 BATCH 9,2100.0,2500.0,47.9489,100693,257323,214436,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭哥尼-原酒-batch-9-glengoyne-cask-strength-batch-9,할인중
麥卡倫 奢想 2022,8999.0,10000.0,47.9489,431492,1102686,918905,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/麥卡倫-奢想-2022-the-macallan-rare-cask-2022-release,할인중
麥卡倫 奢想 2021,8999.0,10000.0,47.9489,431492,1102686,918905,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/麥卡倫-奢想-2021-the-macallan-rare-cask-2021-release,할인중
麥卡倫 奢想 2023,8999.0,10000.0,47.9489,431492,1102686,918905,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/麥卡倫-奢想-2023-the-macallan-rare-cask-2023-release,할인중
艾樂奇 10年 原酒裝瓶核心系列 第9批次,2380.0,2650.0,47.9489,114118,291631,243026,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/艾樂奇-10年-原酒裝瓶核心系列-第9批次-glenallachie-10y-cask-strength-batch-9-speyside-single-malt-scotch-whisky,할인중
百富 25年 珍稀系列,28800.0,32000.0,47.9489,1380928,3528989,2940824,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/百富-25年-the-balvenie-single-25y,할인중
艾倫 25年,17500.0,19000.0,47.9489,839106,2144352,1786960,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/艾倫-25年-arran-25y,할인중
艾雷元素 雪莉版 艾雷島調和麥芽蘇格蘭威士忌,2400.0,,47.9489,115077,294082,245068,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/艾雷元素-雪莉版-艾雷島調和麥芽蘇格蘭威士忌-elements-of-islay-sherry-cask-islay-blended-malt-scotch-whisky,
艾雷元素 經典版 艾雷島調和麥芽蘇格蘭威士忌,1500.0,,47.9489,71923,183801,153167,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/艾雷元素-經典版-艾雷島調和麥芽蘇格蘭威士忌-elements-of-islay-cask-edit-islay-blended-malt-scotch-whisky,
