video_id,t_sec,frame,crop,method,w,h
Yce2Z9qVmgY,227.8,Yce2Z9qVmgY_000348_1.jpg,Yce2Z9qVmgY_000348_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,235.4,Yce2Z9qVmgY_000355_1.jpg,Yce2Z9qVmgY_000355_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,238.0,Yce2Z9qVmgY_000358_1.jpg,Yce2Z9qVmgY_000358_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,241.2,Yce2Z9qVmgY_000401_1.jpg,Yce2Z9qVmgY_000401_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,245.4,Yce2Z9qVmgY_000405_1.jpg,Yce2Z9qVmgY_000405_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,247.8,Yce2Z9qVmgY_000408_1.jpg,Yce2Z9qVmgY_000408_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,250.4,Yce2Z9qVmgY_000410_1.jpg,Yce2Z9qVmgY_000410_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,251.8,Yce2Z9qVmgY_000412_1.jpg,Yce2Z9qVmgY_000412_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,253.2,Yce2Z9qVmgY_000413_1.jpg,Yce2Z9qVmgY_000413_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,259.2,Yce2Z9qVmgY_000419_1.jpg,Yce2Z9qVmgY_000419_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,265.4,Yce2Z9qVmgY_000425_1.jpg,Yce2Z9qVmgY_000425_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,277.2,Yce2Z9qVmgY_000437_1.jpg,Yce2Z9qVmgY_000437_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,281.6,Yce2Z9qVmgY_000442_1.jpg,Yce2Z9qVmgY_000442_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,283.2,Yce2Z9qVmgY_000443_1.jpg,Yce2Z9qVmgY_000443_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,289.2,Yce2Z9qVmgY_000449_1.jpg,Yce2Z9qVmgY_000449_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,295.4,Yce2Z9qVmgY_000455_1.jpg,Yce2Z9qVmgY_000455_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,298.8,Yce2Z9qVmgY_000459_1.jpg,Yce2Z9qVmgY_000459_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,301.2,Yce2Z9qVmgY_000501_1.jpg,Yce2Z9qVmgY_000501_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,307.2,Yce2Z9qVmgY_000507_1.jpg,Yce2Z9qVmgY_000507_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,313.2,Yce2Z9qVmgY_000513_1.jpg,Yce2Z9qVmgY_000513_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,319.2,Yce2Z9qVmgY_000519_1.jpg,Yce2Z9qVmgY_000519_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,325.2,Yce2Z9qVmgY_000525_1.jpg,Yce2Z9qVmgY_000525_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,331.2,Yce2Z9qVmgY_000531_1.jpg,Yce2Z9qVmgY_000531_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,337.2,Yce2Z9qVmgY_000537_1.jpg,Yce2Z9qVmgY_000537_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,340.4,Yce2Z9qVmgY_000540_1.jpg,Yce2Z9qVmgY_000540_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,343.2,Yce2Z9qVmgY_000543_1.jpg,Yce2Z9qVmgY_000543_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,349.2,Yce2Z9qVmgY_000549_1.jpg,Yce2Z9qVmgY_000549_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,352.8,Yce2Z9qVmgY_000553_1.jpg,Yce2Z9qVmgY_000553_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,355.2,Yce2Z9qVmgY_000555_1.jpg,Yce2Z9qVmgY_000555_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,361.2,Yce2Z9qVmgY_000601_1.jpg,Yce2Z9qVmgY_000601_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,365.4,Yce2Z9qVmgY_000605_1.jpg,Yce2Z9qVmgY_000605_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,367.2,Yce2Z9qVmgY_000607_1.jpg,Yce2Z9qVmgY_000607_1.jpg,roi_fallback,384,360
