위스키명,브랜드,표시가_USD,마일리지할인율_%,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,평점,재고,구매가능,소분류,상품코드,SKU,상품URL
랑주 홍화랑 15년 500ml,랑주,47.2815,40.0,75.05,79.0,5.0,79,0,0.0,6,Y,1216:중국술,5526755,067631000065,https://www.shilladfs.com/estore/kr/ko/p/5526755
랑주 홍화랑 10년 500ml,랑주,32.318999999999996,40.0,51.3,54.0,5.0,34,0,0.0,6,Y,1216:중국술,5526754,067631000063,https://www.shilladfs.com/estore/kr/ko/p/5526754
보모어 34년 프랭크 콰이어틀리 4 700ml,보모어,,,2090.0,3800.0,45.0,3,0,0.0,1,Y,1220:싱글몰트 위스키,5489103,114231000049,https://www.shilladfs.com/estore/kr/ko/p/5489103
빌까르살몽 블랑 드 블랑 루이살몽 12 750ml,빌까르 살몽,155.68599999999998,35.0,228.95,241.0,5.0,84,0,0.0,0,N,1221:와인/샴페인,5517696,268331000049,https://www.shilladfs.com/estore/kr/ko/p/5517696
빌까르살몽 브뤼 나뚜르 750ml,빌까르 살몽,56.84799999999999,35.0,83.6,88.0,5.0,29,0,0.0,0,N,1221:와인/샴페인,5517693,268331000051,https://www.shilladfs.com/estore/kr/ko/p/5517693
빌까르살몽 브뤼 리저브 750ml,빌까르 살몽,50.38799999999999,35.0,74.1,78.0,5.0,91,0,0.0,0,N,1221:와인/샴페인,5517698,268331000052,https://www.shilladfs.com/estore/kr/ko/p/5517698
빌까르살몽 브뤼 로제 750ml,빌까르 살몽,78.812,35.0,115.9,122.0,5.0,88,0,0.0,0,N,1221:와인/샴페인,5517699,268331000053,https://www.shilladfs.com/estore/kr/ko/p/5517699
빌까르살몽 브뤼 수 부아 750m,빌까르 살몽,78.812,35.0,115.9,122.0,5.0,50,0,0.0,0,N,1221:와인/샴페인,5517694,268331000054,https://www.shilladfs.com/estore/kr/ko/p/5517694
빌까르살몽 드미 섹 750ml,빌까르 살몽,47.85,45.0,47.85,87.0,45.0,24,0,0.0,6,Y,1221:와인/샴페인,5517700,268331000055,https://www.shilladfs.com/estore/kr/ko/p/5517700
빌까르살몽 엑스트라 브뤼 빈티지 16 750ml,빌까르 살몽,84.62599999999999,35.0,124.45,131.0,5.0,72,0,0.0,0,N,1221:와인/샴페인,5517701,268331000057,https://www.shilladfs.com/estore/kr/ko/p/5517701
프라팡 1270 350ml,프라팡,28.423999999999996,35.0,41.8,44.0,5.0,16,0,0.0,6,Y,1213:꼬냑,5515187,268331000039,https://www.shilladfs.com/estore/kr/ko/p/5515187
프라팡 1270 700ml,프라팡,30.24,52.0,30.24,63.0,52.0,13,0,0.0,6,Y,1213:꼬냑,5515182,268331000040,https://www.shilladfs.com/estore/kr/ko/p/5515182
프라팡 15년 700ml,프라팡,89.14799999999998,35.0,131.1,138.0,5.0,41,0,0.0,6,Y,1213:꼬냑,5515188,268331000041,https://www.shilladfs.com/estore/kr/ko/p/5515188
프라팡 1990 30년 700ml,프라팡,175.06599999999997,35.0,257.45,271.0,5.0,115,0,0.0,0,N,1213:꼬냑,5515183,268331000042,https://www.shilladfs.com/estore/kr/ko/p/5515183
프라팡 시가 블렌드 XO 700ml,프라팡,101.422,35.0,149.15,157.0,5.0,84,0,0.0,6,Y,1213:꼬냑,5515189,268331000044,https://www.shilladfs.com/estore/kr/ko/p/5515189
프라팡 샤또 퐁피뇨 XO 100주년 700ml,프라팡,152.456,35.0,224.2,236.0,5.0,49,0,0.0,0,N,1213:꼬냑,5515190,268331000046,https://www.shilladfs.com/estore/kr/ko/p/5515190
패터캐른 40년 700ml,패터캐른,3816.0,20.0,3816.0,4770.0,20.0,11,0,0.0,0,N,1220:싱글몰트 위스키,5219289,114431000089,https://www.shilladfs.com/estore/kr/ko/p/5219289
