위스키명,브랜드,표시가_USD,마일리지할인율_%,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,평점,재고,구매가능,소분류,상품코드,SKU,상품URL
발렌타인 30년 RESTAGE 700ml,발렌타인,312.96705,30.0,424.65,447.0,5.0,5050,49,9.30612245,6,Y,1211:Blended Whisky,5086095,046131000048,https://www.shilladfs.com/estore/kr/ko/p/5086095
카발란 비노바리끄 솔리스트 1000ml,카발란,138.0,40.0,184.0,230.0,20.0,10205,51,9.68627451,6,Y,1220:싱글몰트 위스키,5101582,249031000005,https://www.shilladfs.com/estore/kr/ko/p/5101582
조니워커 블루 750ml,조니워커,146.642,35.0,215.65,227.0,5.0,7204,35,10.0,6,Y,1211:블렌디드 위스키,287148,046331000002,https://www.shilladfs.com/estore/kr/ko/p/287148
발베니 Balvenie 18년 Sherry Cask 700ml,발베니,145.3419,48.0,146.81,277.0,47.0,5261,35,9.65714286,6,Y,1220:싱글몰트 위스키,5108210,112231000026,https://www.shilladfs.com/estore/kr/ko/p/5108210
발베니  Balvenie 40 Rare Marriages 700ml,발베니,5442.12,46.0,5442.12,10078.0,46.0,142,0,0.0,1,Y,1220:싱글몰트 위스키,5108433,112231000028,https://www.shilladfs.com/estore/kr/ko/p/5108433
레어 2013 마제스틱 홀스 750ml,와인나라,152.1,35.0,152.1,234.0,35.0,543,4,10.0,6,Y,1221:와인/샴페인,5893753,115431000207,https://www.shilladfs.com/estore/kr/ko/p/5893753
글렌알라키 2007 17년 올로로소 쉐리 펀천 싱글캐스크#2777 700ml,글렌알라키,207.7,38.0,207.7,335.0,38.0,496,2,10.0,6,Y,1220:싱글몰트 위스키,5818667,265631000019,https://www.shilladfs.com/estore/kr/ko/p/5818667
조니워커 블루 1000ml,조니워커,195.09199999999996,35.0,286.9,302.0,5.0,1862,8,8.75,6,Y,1211:블렌디드 위스키,287145,046331000001,https://www.shilladfs.com/estore/kr/ko/p/287145
로얄살루트 21년 700ml,로얄살루트,123.22639999999998,30.0,167.2,176.0,5.0,4564,31,9.48387097,6,Y,1211:블렌디드 위스키,5081230,110231000020,https://www.shilladfs.com/estore/kr/ko/p/5081230
카발란 이엑스버번 솔리스트 1000ml,카발란,92.4,40.0,123.2,154.0,20.0,2697,13,10.0,6,Y,1220:싱글몰트 위스키,5101822,249031000003,https://www.shilladfs.com/estore/kr/ko/p/5101822
글렌피딕 23년 Grand Cru 700ml,글렌피딕,194.15,45.0,194.15,353.0,45.0,1745,9,9.77777778,6,Y,1220:싱글몰트 위스키,4554223,082331000035,https://www.shilladfs.com/estore/kr/ko/p/4554223
시그나토리 로얄브라클라 2008 캐스크 스트렝스 16년 #2 700ml,시그나토리 빈티지,130.055,30.0,175.75,185.0,5.0,315,2,10.0,6,Y,1220:싱글몰트 위스키,5895330,288631000009,https://www.shilladfs.com/estore/kr/ko/p/5895330
마오타이 귀주 마오타이 500ml,마오타이,232.5,50.0,232.5,465.0,50.0,1168,1,10.0,6,Y,1216:중국술,5070871,194431000001,https://www.shilladfs.com/estore/kr/ko/p/5070871
메이커스마크 셀러에이지드 2025 700ml,메이커스마크,160.0,0.0,160.0,160.0,0.0,482,0,0.0,6,Y,1211:블렌디드 위스키,5796325,109831000036,https://www.shilladfs.com/estore/kr/ko/p/5796325
카발란 포트 솔리스트 1000ml,카발란,130.8,40.0,174.4,218.0,20.0,3412,10,10.0,6,Y,1220:싱글몰트 위스키,5101642,249031000006,https://www.shilladfs.com/estore/kr/ko/p/5101642
글렌피딕 22년 그랑 코르테스 700ml,글렌피딕,182.9,41.0,182.9,310.0,41.0,2979,17,9.76470588,6,Y,1220:싱글몰트 위스키,5479260,082331000053,https://www.shilladfs.com/estore/kr/ko/p/5479260
볼랭저 RD 2008 750ml,볼랭저,336.0,20.0,336.0,420.0,20.0,128,0,0.0,6,Y,1221:와인/샴페인,5804869,292831000005,https://www.shilladfs.com/estore/kr/ko/p/5804869
발렌타인 40년 700ml,발렌타인,9236.5,30.0,9236.5,13195.0,30.0,10,0,0.0,0,N,1211:블렌디드 위스키,5070260,046131000023,https://www.shilladfs.com/estore/kr/ko/p/5070260
글렌알라키 싱글캐스크 19Y 쉐리 벗 #901028 700ml,글렌알라키,285.2,38.0,285.2,460.0,38.0,430,1,8.0,6,Y,1220:싱글몰트 위스키,5818666,265631000020,https://www.shilladfs.com/estore/kr/ko/p/5818666
발베니 Balvenie 15년 Madeira Cask 700ml,발베니,86.0508,48.0,86.92,164.0,47.0,4101,15,9.86666667,6,Y,1220:싱글몰트 위스키,5108416,112231000025,https://www.shilladfs.com/estore/kr/ko/p/5108416
옥토모어 16.1 700ml,브룩라디,,,167.0,167.0,0.0,357,0,0.0,6,Y,1220:싱글몰트 위스키,5900472,085131000115,https://www.shilladfs.com/estore/kr/ko/p/5900472
조니워커 블루라벨 200ml,조니워커,41.343999999999994,35.0,60.8,64.0,5.0,353,0,0.0,6,Y,1211:블렌디드 위스키,5855845,046331000089,https://www.shilladfs.com/estore/kr/ko/p/5855845
양허 M6 플러스 500ml,양허,66.55,45.0,66.55,121.0,45.0,2054,13,10.0,6,Y,1216:중국술,5506527,067631000050,https://www.shilladfs.com/estore/kr/ko/p/5506527
케이머스 나파 밸리 카버네 소비뇽 2023 750ml,케이머스,71.0125,38.0,109.25,115.0,5.0,389,0,0.0,6,Y,1221:와인/샴페인,5855099,268331000078,https://www.shilladfs.com/estore/kr/ko/p/5855099
수정방 750ml,수정방,95.76,47.0,171.0,180.0,5.0,1258,3,10.0,6,Y,1216:중국술,3631230,111331000001,https://www.shilladfs.com/estore/kr/ko/p/3631230
발베니 12년 Golden Cask 700ml ,발베니,44.8,44.0,44.8,80.0,44.0,4174,10,10.0,6,Y,1220:싱글몰트 위스키,5516907,112231000040,https://www.shilladfs.com/estore/kr/ko/p/5516907
로얄살루트 25년 700ml,로얄살루트,184.83960000000002,30.0,250.8,264.0,5.0,615,2,10.0,0,N,1211:블렌디드 위스키,4599460,110231000024,https://www.shilladfs.com/estore/kr/ko/p/4599460
글렌피딕 30년 Time Series 700ml ,글렌피딕,780.0,48.0,780.0,1500.0,48.0,197,1,10.0,6,Y,1220:싱글몰트 위스키,5188729,082331000048,https://www.shilladfs.com/estore/kr/ko/p/5188729
카발란 피노 솔리스트 1000ml,카발란,304.0,20.0,304.0,380.0,20.0,3195,11,9.81818182,6,Y,1220:싱글몰트 위스키,5101823,249031000008,https://www.shilladfs.com/estore/kr/ko/p/5101823
클라세 아줄 테킬라 레포사도 750ml,클라세 아줄,174.762,20.0,208.05,219.0,5.0,700,5,10.0,6,Y,1226:스피릿,5502892,282931000002,https://www.shilladfs.com/estore/kr/ko/p/5502892
로얄브라클라 12년 1000ml,로얄브라클라,49.76100000000001,49.0,92.15,97.0,5.0,1995,9,10.0,6,Y,1220:싱글몰트 위스키,5472423,113531000076,https://www.shilladfs.com/estore/kr/ko/p/5472423
레미마틴 엑스오 700ml,레미마틴,115.42500000000001,49.0,213.75,225.0,5.0,1516,14,10.0,6,Y,1213:꼬냑,276047,085131000002,https://www.shilladfs.com/estore/kr/ko/p/276047
글렌알라키 15년 (24RB) 700ml,글렌알라키,81.12,52.0,81.12,169.0,52.0,2120,6,9.66666667,1,Y,1220:싱글몰트 위스키,5463432,265631000010,https://www.shilladfs.com/estore/kr/ko/p/5463432
로얄브라클라 21년 700ml,로얄브라클라,160.08,54.0,160.08,348.0,54.0,1814,9,9.55555556,6,Y,1220:싱글몰트 위스키,5472422,113531000065,https://www.shilladfs.com/estore/kr/ko/p/5472422
발렌타인 17년 RESTAGE 700ml,발렌타인,56.259,40.0,89.3,94.0,5.0,1522,17,9.76470588,6,Y,1211:블렌디드 위스키,5068792,046131000042,https://www.shilladfs.com/estore/kr/ko/p/5068792
글렌피딕 18년 Vat4 Perpetual 700ml,글렌피딕,79.75,45.0,79.75,145.0,45.0,3701,13,9.23076923,6,Y,1220:싱글몰트 위스키,5105341,082331000042,https://www.shilladfs.com/estore/kr/ko/p/5105341
발렌타인 21년 RESTAGE 700ml,발렌타인,119.0255,30.0,161.5,170.0,5.0,2817,21,9.9047619,6,Y,1211:블렌디드 위스키,5068647,046131000043,https://www.shilladfs.com/estore/kr/ko/p/5068647
글렌피딕 21년 700ml,글렌피딕,139.92,47.0,139.92,264.0,47.0,1729,6,10.0,6,Y,1220:Single Malt Whisky,275686,082331000013,https://www.shilladfs.com/estore/kr/ko/p/275686
샤또 지스꾸르 2016 750ml,샤토 지스꾸르,72.84599999999999,33.0,102.6,108.0,5.0,161,1,10.0,4,Y,1221:와인/샴페인,5599684,287231000001,https://www.shilladfs.com/estore/kr/ko/p/5599684
조니워커 엑스오디네어 750ml,조니워커,169.25199999999998,35.0,248.9,262.0,5.0,500,2,10.0,6,Y,1211:블렌디드 위스키,5479001,046331000084,https://www.shilladfs.com/estore/kr/ko/p/5479001
파 니엔테 샤도네이 2023 750ml,파 니엔테,74.28999999999999,35.0,109.25,115.0,5.0,2262,8,9.5,6,Y,1221:와인/샴페인,5478124,268331000037,https://www.shilladfs.com/estore/kr/ko/p/5478124
GF LIQU Glenfiddich 39 1985 Cask 700ml,글렌피딕,2970.0,40.0,2970.0,4950.0,40.0,57,1,8.0,6,Y,1220:싱글몰트 위스키,5717430,082331000057,https://www.shilladfs.com/estore/kr/ko/p/5717430
조니워커 XR 21년 750ml,조니워커,63.0,55.0,63.0,140.0,55.0,188,0,0.0,6,Y,1211:Blended Whisky,287166,046331000024,https://www.shilladfs.com/estore/kr/ko/p/287166
마오타이 53% 귀주 마오타이 1000ml,마오타이,405.9,45.0,405.9,738.0,45.0,257,0,0.0,6,Y,1216:중국술,5329990,194431000017,https://www.shilladfs.com/estore/kr/ko/p/5329990
티냐넬로 2022 750ml,와인나라,157.32000000000002,15.0,174.8,184.0,5.0,93,0,0.0,6,Y,1221:와인/샴페인,5949584,115431000209,https://www.shilladfs.com/estore/kr/ko/p/5949584
보모어 22년 700ml,보모어,,,199.5,399.0,50.0,232,0,0.0,6,Y,1220:싱글몰트 위스키,5524534,114231000055,https://www.shilladfs.com/estore/kr/ko/p/5524534
샤또 디켐 2007 750ml,샤토 디켐,468.426,20.0,557.65,587.0,5.0,256,0,0.0,6,Y,1221:와인/샴페인,5600330,287231000016,https://www.shilladfs.com/estore/kr/ko/p/5600330
달모어 28년 700ml,달모어,,,4322.5,4550.0,5.0,28,0,0.0,6,Y,1220:싱글몰트 위스키,5464818,114431000093,https://www.shilladfs.com/estore/kr/ko/p/5464818
듀어스 DEWARS 18년 1000ml,듀어스,55.385000000000005,48.0,100.7,106.0,5.0,1151,7,9.42857143,6,Y,1211:블렌디드 위스키,5268156,113531000057,https://www.shilladfs.com/estore/kr/ko/p/5268156
우량예 52% 500ml,우량예,88.92,43.0,88.92,156.0,43.0,1256,6,9.66666667,6,Y,1216:중국술,5478338,067631000025,https://www.shilladfs.com/estore/kr/ko/p/5478338
옥토모어 14.3 700ml,브룩라디,,,230.0,230.0,0.0,478,1,10.0,6,Y,1220:싱글몰트 위스키,5900471,085131000113,https://www.shilladfs.com/estore/kr/ko/p/5900471
조셉 펠프스 인시그니아 750ML,조셉펠프스,,,249.6,312.0,20.0,200,2,10.0,6,Y,1221:와인/샴페인,5667224,108931000105,https://www.shilladfs.com/estore/kr/ko/p/5667224
카발란 올로로소 쉐리 오크 1000ml,카발란,103.19999999999999,40.0,137.6,172.0,20.0,2049,3,10.0,6,Y,1220:싱글몰트 위스키,5101584,249031000011,https://www.shilladfs.com/estore/kr/ko/p/5101584
테일러스 토니 포트 50년 750ml,테일러스 포트 와인,199.5,50.0,199.5,399.0,50.0,149,0,0.0,6,Y,1221:와인/샴페인,5664722,280631000006,https://www.shilladfs.com/estore/kr/ko/p/5664722
조니워커 블루라벨 500ml,조니워커,103.35999999999999,35.0,152.0,160.0,5.0,274,1,10.0,6,Y,1211:블렌디드 위스키,5878261,046331000092,https://www.shilladfs.com/estore/kr/ko/p/5878261
조니워커 아일랜드 그린 1000ml,조니워커,43.34400000000001,50.0,77.4,86.0,10.0,957,6,10.0,6,Y,1211:블렌디드 위스키,5069964,046331000040,https://www.shilladfs.com/estore/kr/ko/p/5069964
더 글렌그란트 18년 700ml,더 글렌그란트,74.12400000000001,48.0,127.8,142.0,10.0,499,0,0.0,6,Y,1220:싱글몰트 위스키,5817221,257131000011,https://www.shilladfs.com/estore/kr/ko/p/5817221
양허 몽지람 M9 500ml,양허,144.65,45.0,144.65,263.0,45.0,1369,7,10.0,6,Y,1216:중국술,5104690,067631000031,https://www.shilladfs.com/estore/kr/ko/p/5104690
까뮤 XO 보더리 패밀리 리저브 700ml ,까뮤,126.08400000000002,47.0,225.15,237.0,5.0,903,3,10.0,6,Y,1213:꼬냑,4423908,070031000024,https://www.shilladfs.com/estore/kr/ko/p/4423908
로얄살루트 32년 500ml,로얄살루트,312.96705,30.0,424.65,447.0,5.0,697,0,0.0,1,Y,1211:블렌디드 위스키,5546709,110231000041,https://www.shilladfs.com/estore/kr/ko/p/5546709
까뮤 VSOP 프로모션팩 1000ml + 500ml,까뮤,49.59,45.0,85.5,90.0,5.0,510,2,10.0,6,Y,1213:꼬냑,5478125,070031000049,https://www.shilladfs.com/estore/kr/ko/p/5478125
카발란 모스카텔 쉐리 솔리스트 750ml,카발란,272.0,15.0,272.0,320.0,15.0,2587,5,10.0,0,N,1220:싱글몰트 위스키,5101583,249031000007,https://www.shilladfs.com/estore/kr/ko/p/5101583
옥토모어 16.3 700ml,브룩라디,,,230.0,230.0,0.0,301,0,0.0,6,Y,1220:싱글몰트 위스키,5934209,085131000117,https://www.shilladfs.com/estore/kr/ko/p/5934209
발베니 Balvenie 19년 Week of Peat 700ml,발베니,166.95,47.0,166.95,315.0,47.0,1186,8,10.0,6,Y,1220:싱글몰트 위스키,5108417,112231000027,https://www.shilladfs.com/estore/kr/ko/p/5108417
발베니 25년 Rare Marrige 700ml ,발베니,598.8,40.0,598.8,998.0,40.0,448,4,10.0,1,Y,1220:싱글몰트 위스키,5188632,112231000031,https://www.shilladfs.com/estore/kr/ko/p/5188632
발렌타인 23년 AMERICAN OAK CASKS 700ml,발렌타인,165.2354,30.0,224.2,236.0,5.0,671,3,10.0,6,Y,1211:블렌디드 위스키,4486823,046131000041,https://www.shilladfs.com/estore/kr/ko/p/4486823
보모어 19년 700ml,보모어,,,102.0,204.0,50.0,243,0,0.0,6,Y,1220:싱글몰트 위스키,5524533,114231000054,https://www.shilladfs.com/estore/kr/ko/p/5524533
와일드 터키 레어브리드 1000ml,와일드터키,36.855000000000004,42.0,56.7,63.0,10.0,1369,4,10.0,6,Y,1211:블렌디드 위스키,5331751,257231000004,https://www.shilladfs.com/estore/kr/ko/p/5331751
로얄살루트 21년 루나 뉴이어 2026 700ml,로얄살루트,123.22639999999998,30.0,167.2,176.0,5.0,338,2,10.0,6,Y,1211:블렌디드 위스키,5848847,110231000044,https://www.shilladfs.com/estore/kr/ko/p/5848847
시그나토리 글렌로티스 1995 캐스크 스트렝스 30년 #6980 700ml,시그나토리 빈티지,420.28000000000003,25.0,532.0,560.0,5.0,141,1,10.0,0,N,1220:싱글몰트 위스키,5895331,288631000010,https://www.shilladfs.com/estore/kr/ko/p/5895331
우드포드 리저브 더블 오크 1000ml,우드포드 리저브,44.175,41.0,71.25,75.0,5.0,1654,8,9.75,6,Y,1211:블렌디드 위스키,5088299,114931000024,https://www.shilladfs.com/estore/kr/ko/p/5088299
수정방 클래식 52% 500ml,수정방,105.79200000000002,45.0,182.4,192.0,5.0,535,2,5.0,6,Y,1216:중국술,5581553,111331000017,https://www.shilladfs.com/estore/kr/ko/p/5581553
와일드터키 마스터스 킵 트라이엄프 750ml,와일드터키,140.0,20.0,140.0,175.0,20.0,188,0,0.0,6,Y,1227:기타 주류,5834602,257231000011,https://www.shilladfs.com/estore/kr/ko/p/5834602
보모어 30년 700ml,보모어,,,1495.2,3115.0,52.0,49,0,0.0,3,Y,1220:싱글몰트 위스키,5298204,114231000046,https://www.shilladfs.com/estore/kr/ko/p/5298204
발렌타인 18년 GLENBURGIE 700ml,발렌타인,66.81,49.0,66.81,131.0,49.0,332,1,10.0,6,Y,1220:싱글몰트 위스키,5524471,046131000057,https://www.shilladfs.com/estore/kr/ko/p/5524471
돈훌리오 1942 750ml,돈훌리오,109.62,46.0,121.8,203.0,40.0,511,2,10.0,6,Y,1226:스피릿,5296321,254931000001,https://www.shilladfs.com/estore/kr/ko/p/5296321
샤또 디켐 2006 750ml,샤토 디켐,443.754,20.0,498.6,554.0,10.0,197,0,0.0,6,Y,1221:와인/샴페인,5599688,287231000010,https://www.shilladfs.com/estore/kr/ko/p/5599688
더 패밀리 캐스크스 2004_S24 700ml,글렌파클라스,325.584,35.0,478.8,504.0,5.0,270,0,0.0,0,N,1220:싱글몰트 위스키,5548856,265931000013,https://www.shilladfs.com/estore/kr/ko/p/5548856
BLADNOCH 16YO 700ml,블라드녹,101.75,45.0,101.75,185.0,45.0,163,2,10.0,6,Y,1220:싱글몰트 위스키,5834298,293331000001,https://www.shilladfs.com/estore/kr/ko/p/5834298
글렌알라키 35년 700mL,글렌알라키,1363.0,53.0,1363.0,2900.0,53.0,70,0,0.0,0,N,1220:싱글몰트 위스키,5744680,265631000018,https://www.shilladfs.com/estore/kr/ko/p/5744680
더 글렌그란트 21년 700ml,더 글렌그란트,174.08,49.0,272.0,340.0,20.0,891,5,10.0,6,Y,1220:싱글몰트 위스키,5300501,257131000006,https://www.shilladfs.com/estore/kr/ko/p/5300501
카발란 만자니아 솔리스트 750ml,카발란,272.0,15.0,272.0,320.0,15.0,2077,3,9.33333333,0,N,1220:싱글몰트 위스키,5101824,249031000009,https://www.shilladfs.com/estore/kr/ko/p/5101824
조니워커 킹조지 5세 750ml,조니워커,453.49199999999996,35.0,666.9,702.0,5.0,719,3,9.33333333,6,Y,1211:블렌디드 위스키,5082568,046331000050,https://www.shilladfs.com/estore/kr/ko/p/5082568
TAMDHU Gran Reserva 700ml,탐두,168.66299999999998,37.0,255.55,269.0,5.0,264,1,10.0,6,Y,1220:싱글몰트 위스키,5865408,294531000007,https://www.shilladfs.com/estore/kr/ko/p/5865408
벤로막 12년 캐스크스트렝스 700ml,와인나라,81.396,20.0,96.9,102.0,5.0,312,0,0.0,0,N,1220:싱글몰트 위스키,5910120,274231000028,https://www.shilladfs.com/estore/kr/ko/p/5910120
GLENGOINE 15yo PX Edition 700ml,글렌고인,84.36,30.0,114.0,120.0,5.0,188,1,10.0,6,Y,1220:싱글몰트 위스키,5865405,294531000002,https://www.shilladfs.com/estore/kr/ko/p/5865405
라프로익 PX Cask 1000ml,라프로익,59.28,51.0,114.0,120.0,5.0,1265,2,10.0,6,Y,1220:싱글몰트 위스키,3333183,114131000003,https://www.shilladfs.com/estore/kr/ko/p/3333183
레드브레스트 18년 700ml,제임슨,112.0,44.0,112.0,200.0,44.0,135,0,0.0,0,N,1211:블렌디드 위스키,5769824,110531000008,https://www.shilladfs.com/estore/kr/ko/p/5769824
몰트락 26년(Special Releas) 700ml,몰트락,1228.5,35.0,1228.5,1890.0,35.0,26,0,0.0,0,N,1220:싱글몰트 위스키,5704239,111231000022,https://www.shilladfs.com/estore/kr/ko/p/5704239
그라함 20년 750ml,그라함,57.399,50.0,108.3,114.0,5.0,1037,5,9.6,6,Y,1221:와인/샴페인,3658573,154531000003,https://www.shilladfs.com/estore/kr/ko/p/3658573
Clase Azul Mezcal San Luis Potosi 750,클라세 아줄,285.722,31.0,391.4,412.0,5.0,98,0,0.0,6,Y,1226:스피릿,5672621,282931000008,https://www.shilladfs.com/estore/kr/ko/p/5672621
글렌피딕 23년 그랑크뤼 슬림팩 700ml,글렌피딕,194.15,45.0,194.15,353.0,45.0,200,0,0.0,6,Y,1220:싱글몰트 위스키,5855038,082331000064,https://www.shilladfs.com/estore/kr/ko/p/5855038
라가불린 16년 700ml,라가불린,70.699,42.0,115.9,122.0,5.0,2037,3,10.0,6,Y,1220:싱글몰트 위스키,5358630,111131000020,https://www.shilladfs.com/estore/kr/ko/p/5358630
까뮤 XO 프레스티지 프로모션팩 700ml+30ml,까뮤,108.9,45.0,108.9,198.0,45.0,332,0,0.0,6,Y,1213:꼬냑,5591547,070031000050,https://www.shilladfs.com/estore/kr/ko/p/5591547
우량예 2026월드컵 에디션 52% 500ml,우량예,104.74700000000001,30.0,141.55,149.0,5.0,9,0,0.0,6,Y,1216:중국술,5968417,067631000083,https://www.shilladfs.com/estore/kr/ko/p/5968417
글렌스코시아 32년 Limted edition 700ml,글렌 스코시아,1111.95,37.0,1111.95,1765.0,37.0,42,0,0.0,1,Y,1220:싱글몰트 위스키,5267813,265131000003,https://www.shilladfs.com/estore/kr/ko/p/5267813
수정방 레드포춘 500ml,수정방,40.85,53.0,81.7,86.0,5.0,187,2,10.0,6,Y,1216:중국술,5070442,111331000003,https://www.shilladfs.com/estore/kr/ko/p/5070442
더 패밀리 캐스크스 2008_S24 700ml,글렌파클라스,218.9,45.0,218.9,398.0,45.0,111,0,0.0,6,Y,1220:싱글몰트 위스키,5548854,265931000011,https://www.shilladfs.com/estore/kr/ko/p/5548854
벤리악 트리플 디스틸드 25년 700ml,벤리악,234.65,38.0,361.0,380.0,5.0,803,3,10.0,6,Y,1220:싱글몰트 위스키,5429235,114931000057,https://www.shilladfs.com/estore/kr/ko/p/5429235
발베니 12년 몬틸라 700ml,발베니,52.8,40.0,52.8,88.0,40.0,341,1,10.0,6,Y,1220:싱글몰트 위스키,5798333,112231000048,https://www.shilladfs.com/estore/kr/ko/p/5798333
파이퍼하이직 빈티지 2018 750ml,와인나라,55.8,38.0,55.8,90.0,38.0,123,0,0.0,6,Y,1221:와인/샴페인,5937069,115431000208,https://www.shilladfs.com/estore/kr/ko/p/5937069
시바스리갈 18년산 700ml,시바스리갈,44.0,50.0,44.0,88.0,50.0,249,0,0.0,6,Y,1211:블렌디드 위스키,5573453,110331000034,https://www.shilladfs.com/estore/kr/ko/p/5573453
시그나토리 글렌그란트 2000 캐스크 스트렝스 25년 #6 700ml,시그나토리 빈티지,422.94,20.0,503.5,530.0,5.0,196,3,10.0,0,N,1220:싱글몰트 위스키,5788001,288631000002,https://www.shilladfs.com/estore/kr/ko/p/5788001
쿠르부아지에 XO 700ml,쿠르부아지에,93.67000000000002,45.0,161.5,170.0,5.0,109,0,0.0,6,Y,1213:꼬냑,5508586,109731000035,https://www.shilladfs.com/estore/kr/ko/p/5508586
테일러스 토니 포트 와인 30년 750ml,테일러스 포트 와인,82.5,50.0,82.5,165.0,50.0,341,0,0.0,6,Y,1221:와인/샴페인,5477396,280631000003,https://www.shilladfs.com/estore/kr/ko/p/5477396
빌까르살몽 블랑 드 블랑 그랑 크뤼 750ml,빌까르 살몽,80.74999999999999,35.0,118.75,125.0,5.0,169,0,0.0,0,N,1221:와인/샴페인,5517692,268331000048,https://www.shilladfs.com/estore/kr/ko/p/5517692
부쉬밀 18년 트리플 캐스크 700ml,부쉬밀,72.8,48.0,72.8,140.0,48.0,105,1,10.0,0,N,1220:싱글몰트 위스키,5818225,130531000025,https://www.shilladfs.com/estore/kr/ko/p/5818225
그라함 30년 750ml,그라함,122.85400000000001,50.0,231.8,244.0,5.0,506,0,0.0,6,Y,1221:와인/샴페인,3346411,154531000004,https://www.shilladfs.com/estore/kr/ko/p/3346411
국교 1573 클래식 52% 500ml,국교1573,118.84500000000001,15.0,132.05,139.0,5.0,169,1,10.0,6,Y,1216:중국술,5669117,284531000003,https://www.shilladfs.com/estore/kr/ko/p/5669117
"스택스 립 와인셀라, FAY 카베르네소비뇽 2020 750ml",와인나라,168.72,30.0,228.0,240.0,5.0,161,0,0.0,6,Y,1221:와인/샴페인,5739941,115431000198,https://www.shilladfs.com/estore/kr/ko/p/5739941
파이퍼 하이직 뀌베 브뤼 750ml,와인나라,33.516,20.0,39.9,42.0,5.0,767,1,10.0,6,Y,1221:와인/샴페인,5593493,115431000123,https://www.shilladfs.com/estore/kr/ko/p/5593493
브룩라디 블랙아트 사페로 700ml,브룩라디,,,238.0,238.0,0.0,179,0,0.0,6,Y,1220:싱글몰트 위스키,5884136,085131000114,https://www.shilladfs.com/estore/kr/ko/p/5884136
시그나토리 글렌그란트 1995 CS 30년 #88231 700ml,시그나토리 빈티지,448.0,20.0,448.0,560.0,20.0,118,0,0.0,4,Y,1220:싱글몰트 위스키,5958380,288631000013,https://www.shilladfs.com/estore/kr/ko/p/5958380
GLENGOYN 28yo Single Cask 700ml,글렌고인,1072.0,33.0,1072.0,1600.0,33.0,82,0,0.0,0,N,1220:싱글몰트 위스키,5865407,294531000004,https://www.shilladfs.com/estore/kr/ko/p/5865407
발베니 21년 포트우드 700ml,발베니,288.0,20.0,288.0,360.0,20.0,81,1,10.0,6,Y,1220:싱글몰트 위스키,5479261,112231000037,https://www.shilladfs.com/estore/kr/ko/p/5479261
사시까이야 2022 750ml,에노테카,288.0,10.0,288.0,320.0,10.0,112,0,0.0,6,Y,1221:와인/샴페인,5880726,126931000052,https://www.shilladfs.com/estore/kr/ko/p/5880726
"스택스 립 와인셀라, 아르테미스 카베르네소비뇽 2021 750ml",와인나라,78.736,30.0,106.4,112.0,5.0,216,0,0.0,6,Y,1221:와인/샴페인,5739940,115431000197,https://www.shilladfs.com/estore/kr/ko/p/5739940
로얄살루트 21년 LNY25 700ml,로얄살루트,123.22639999999998,30.0,167.2,176.0,5.0,32,0,0.0,6,Y,1211:블렌디드 위스키,5661900,110231000037,https://www.shilladfs.com/estore/kr/ko/p/5661900
벤로막 21년 700ml,와인나라,175.61700000000002,25.0,222.3,234.0,5.0,450,2,9.0,6,Y,1220:싱글몰트 위스키,5828356,274231000027,https://www.shilladfs.com/estore/kr/ko/p/5828356
바즈타운 버번 디스커버리 #10 750ml,바즈타운 버번 컴퍼니,139.5,10.0,139.5,155.0,10.0,28,0,0.0,6,Y,1227:기타 주류,5975694,249031000062,https://www.shilladfs.com/estore/kr/ko/p/5975694
조니워커 킹조지 5세 500ml,조니워커,284.23999999999995,35.0,418.0,440.0,5.0,194,0,0.0,6,Y,1211:블렌디드 위스키,3334610,046331000025,https://www.shilladfs.com/estore/kr/ko/p/3334610
화요 블랙 53 750ml,화요,27.84,52.0,46.4,58.0,20.0,773,6,9.66666667,6,Y,1224:한국술,3299251,669331000056,https://www.shilladfs.com/estore/kr/ko/p/3299251
로얄브라클라 18년 700ml,로얄브라클라,112.34700000000001,49.0,208.05,219.0,5.0,1750,4,10.0,6,Y,1220:싱글몰트 위스키,5268251,113531000063,https://www.shilladfs.com/estore/kr/ko/p/5268251
글렌드로낙 16년 700ml,글렌드로낙,103.95,23.0,103.95,135.0,23.0,2333,9,9.77777778,6,Y,1220:싱글몰트 위스키,4391067,114931000034,https://www.shilladfs.com/estore/kr/ko/p/4391067
글렌피딕 15년 Vat3 Perpetual 700ml,글렌피딕,51.48,48.0,51.48,99.0,48.0,1709,6,9.33333333,6,Y,1220:싱글몰트 위스키,5105342,082331000041,https://www.shilladfs.com/estore/kr/ko/p/5105342
샤또 지스꾸르 2019 750ml,샤토 지스꾸르,67.488,30.0,91.2,96.0,5.0,103,0,0.0,6,Y,1221:와인/샴페인,5599677,287231000002,https://www.shilladfs.com/estore/kr/ko/p/5599677
산토리 하쿠슈 DR 700ml,산토리,117.0,0.0,117.0,117.0,0.0,356,0,0.0,6,Y,1211:블렌디드 위스키,5828882,114131000030,https://www.shilladfs.com/estore/kr/ko/p/5828882
듀어스 더블더블 30년 500ml,듀어스,177.65,48.0,323.0,340.0,5.0,378,4,10.0,6,Y,1211:블렌디드 위스키,5547656,113531000073,https://www.shilladfs.com/estore/kr/ko/p/5547656
